Date,Open,High,Low,Close,MACD,MDiff,MSignal,RSI,NATR,DailyLogR,Weekday,Week,Month,Weekday_emb_0,Weekday_emb_1,Weekday_emb_2,Week_emb_0,Week_emb_1,Week_emb_2,Month_emb_0,Month_emb_1,Month_emb_2
2010-01-04,0.5082024686413202,0.6892361939291379,0.5662157621182833,0.7422982091306382,-44.3518249393328,1.2069162087821466,-80.90391729222746,0.7848934128544606,-0.3849852180241053,6.0,0,0,0,0.03226465,-0.061818756,-0.11054021,-0.026473107,-0.036194045,-8.8315915e-05,-0.06436249,0.037674285,-0.016470628
2010-01-05,0.6891992965177614,0.7408158807675161,0.7222993215034528,0.6906950403244182,-25.36150869487801,1.4675441002483285,-69.79543557275757,0.5818325822900386,-0.350691843088839,-1.3,1,0,0,-0.024004012,-0.05113,-0.0500181,-0.026473107,-0.036194045,-8.8315915e-05,-0.06436249,0.037674285,-0.016470628
2010-01-06,0.8184827450009335,0.7923955676058944,0.7483132480676477,0.8197029623399682,-0.22252578318421,1.8387003259063468,-55.880853614842906,0.9409061414019032,-0.3999900664861945,3.2,2,0,0,-0.057070304,0.039798003,0.00038044955,-0.026473107,-0.036194045,-8.8315915e-05,-0.06436249,0.037674285,-0.016470628
2010-01-07,0.844339434697568,0.8439752544442725,0.8263550277602324,0.8455045467430782,21.47009645000253,2.044456915213792,-40.41066360187382,1.0084852977594403,-0.420106612587029,0.6,3,0,0,0.069937125,0.043236163,0.056959245,-0.026473107,-0.036194045,-8.8315915e-05,-0.06436249,0.037674285,-0.016470628
2010-01-08,0.8701961243942024,0.8181854110250835,0.8523689543244274,0.8713061311461882,40.21536918027687,2.1310944004624672,-24.28545704544368,1.0779620107103265,-0.5137406503361739,0.6,4,0,0,-0.008513219,-0.054835368,0.041401174,-0.026473107,-0.036194045,-8.8315915e-05,-0.06436249,0.037674285,-0.016470628
2010-01-11,0.844339434697568,0.8181854110250835,0.8523689543244274,0.8455045467430782,52.44923961932045,2.028154839978599,-8.938517712490857,0.9570775479216126,-0.5696831246845753,-0.6,0,1,0,0.03226465,-0.061818756,-0.11054021,-0.08734597,0.027531724,-0.025769664,-0.06436249,0.037674285,-0.016470628
2010-01-12,0.8184827450009335,0.7923955676058944,0.8003411011960375,0.8197029623399682,59.44216671977529,1.807161761624896,4.737619173962372,0.8333998849576342,-0.5836861296232126,-0.6,1,1,0,-0.024004012,-0.05113,-0.0500181,-0.08734597,0.027531724,-0.025769664,-0.06436249,0.037674285,-0.016470628
2010-01-13,0.7150559862143957,0.715026037348327,0.7483132480676477,0.7164966247275282,56.26634417204332,1.3613680174925944,15.043364173578563,0.3665492493721077,-0.5090830327263655,-2.6,2,1,0,-0.057070304,0.039798003,0.00038044955,-0.08734597,0.027531724,-0.025769664,-0.06436249,0.037674285,-0.016470628
2010-01-14,0.7150559862143957,0.7408158807675161,0.7483132480676477,0.7164966247275282,53.13695221388252,1.00596127498715,22.66208178163936,0.3665492493721077,-0.5382148114180825,0.0,3,1,0,0.069937125,0.043236163,0.056959245,-0.08734597,0.027531724,-0.025769664,-0.06436249,0.037674285,-0.016470628
2010-01-15,0.6374859171244924,0.6892361939291379,0.6702714683750629,0.6390918715181981,44.09669410177503,0.5652726305178377,26.949004245666494,0.0305899111958253,-0.4762988471510256,-2.0,4,1,0,-0.008513219,-0.054835368,0.041401174,-0.08734597,0.027531724,-0.025769664,-0.06436249,0.037674285,-0.016470628
2010-01-18,0.5857725377312235,0.5602869768331925,0.5922296886824782,0.5874887027119782,32.522740377454284,0.1456965326262674,28.06375147202405,-0.1791421025341358,-0.4702865447397548,-1.3,0,2,0,0.03226465,-0.061818756,-0.11054021,0.0058684074,0.04228005,-0.04151847,-0.06436249,0.037674285,-0.016470628
2010-01-19,0.6633426068211269,0.6118666636715707,0.644257541810868,0.6648934559213081,29.067104378314525,0.0247937819300588,28.26442205328215,0.1561376055119376,-0.5867575796465648,2.0,1,2,0,-0.024004012,-0.05113,-0.0500181,0.0058684074,0.04228005,-0.04151847,-0.06436249,0.037674285,-0.016470628
2010-01-20,0.6374859171244924,0.6634463505099488,0.6702714683750629,0.6390918715181981,24.03414620943522,-0.1136541513820363,27.418366884512764,0.0439738920272942,-0.5920165921999668,-0.7,2,2,0,-0.057070304,0.039798003,0.00038044955,0.0058684074,0.04228005,-0.04151847,-0.06436249,0.037674285,-0.016470628
2010-01-21,0.5340591583379547,0.5860768202523816,0.5402018355540883,0.5358855339057581,11.839843983567334,-0.4138552980012164,24.30266230432368,-0.3746301165695537,-0.4647454298793126,-2.7,3,2,0,0.069937125,0.043236163,0.056959245,0.0058684074,0.04228005,-0.04151847,-0.06436249,0.037674285,-0.016470628
2010-01-22,0.5340591583379547,0.4829174465756252,0.4621600558615035,0.5358855339057581,2.150976496251588,-0.5877386327317355,19.87232514270926,-0.3746301165695537,-0.4494466638919785,0.0,4,2,0,-0.008513219,-0.054835368,0.041401174,0.0058684074,0.04228005,-0.04151847,-0.06436249,0.037674285,-0.016470628
2010-01-25,0.4823457789446858,0.4571276031564361,0.5141879089898934,0.4842823650995381,-9.453133090634765,-0.777510206862614,14.007233496040456,-0.5782414275464873,-0.480562587122748,-1.4,0,3,0,0.03226465,-0.061818756,-0.11054021,0.05990502,0.043066576,-0.07638767,-0.06436249,0.037674285,-0.016470628
2010-01-26,0.5082024686413202,0.4571276031564361,0.4361461292973086,0.406877611890208,-24.41984991123627,-1.018280283471361,6.321816814585111,-0.8606954837658656,-0.4062484835256419,-2.1,1,3,0,-0.024004012,-0.05113,-0.0500181,0.05990502,0.043066576,-0.07638767,-0.06436249,0.037674285,-0.016470628
2010-01-27,0.4306323995514169,0.4829174465756252,0.4361461292973086,0.4326791962933181,-33.87331921613804,-1.065051509209671,-1.7172103915595205,-0.7142293537360355,-0.3653896291907434,0.7,2,3,0,-0.057070304,0.039798003,0.00038044955,0.05990502,0.043066576,-0.07638767,-0.06436249,0.037674285,-0.016470628
2010-01-28,0.4823457789446858,0.431337759737247,0.4881739824256985,0.4842823650995381,-36.90525876594848,-0.9325963865734362,-8.754820066437311,-0.42712078076129,-0.5115389120268163,1.4,3,3,0,0.069937125,0.043236163,0.056959245,0.05990502,0.043066576,-0.07638767,-0.06436249,0.037674285,-0.016470628
2010-01-29,0.4306323995514169,0.405547916318058,0.4101322027331137,0.4326791962933181,-42.848741219321255,-0.9036528638610358,-15.573604297014102,-0.6372637231651678,-0.454040739581402,-1.4,4,3,0,-0.008513219,-0.054835368,0.041401174,0.05990502,0.043066576,-0.07638767,-0.06436249,0.037674285,-0.016470628
2010-02-01,0.3530623304615136,0.3797580728988688,0.3841182761689188,0.355274443083988,-52.99991703071783,-0.991806370610824,-23.05886684375485,-0.9266838646922836,-0.4196781763355239,-2.1,0,0,1,0.03226465,-0.061818756,-0.11054021,-0.026473107,-0.036194045,-8.8315915e-05,0.010249252,0.007602419,0.03433956
2010-02-02,0.3272056407648791,0.3539682294796797,0.3841182761689188,0.329472858680878,-62.343431788584894,-1.0409636934714337,-30.91577983272085,-1.018129804593772,-0.4634904211545078,-0.7,1,0,1,-0.024004012,-0.05113,-0.0500181,-0.026473107,-0.036194045,-8.8315915e-05,0.010249252,0.007602419,0.03433956
2010-02-03,0.5082024686413202,0.4829174465756252,0.4361461292973086,0.5100839495026481,-54.99326891467945,-0.6386829193757304,-35.73127764911258,-0.0586516833897839,-0.4412843345742915,4.9,2,0,1,-0.057070304,0.039798003,0.00038044955,-0.026473107,-0.036194045,-8.8315915e-05,0.010249252,0.007602419,0.03433956
2010-02-04,0.4823457789446858,0.4571276031564361,0.5141879089898934,0.4842823650995381,-50.60219237341835,-0.3951365668248928,-38.70546059397373,-0.1667973871672016,-0.5305419357420048,-0.7,3,0,1,0.069937125,0.043236163,0.056959245,-0.026473107,-0.036194045,-8.8315915e-05,0.010249252,0.007602419,0.03433956
2010-02-05,0.3272056407648791,0.3281783860604906,0.3581043496047238,0.329472858680878,-58.55103904481257,-0.5267339621967114,-42.6745762841415,-0.7390447574969266,-0.3119888403293293,-4.2,4,0,1,-0.008513219,-0.054835368,0.041401174,-0.026473107,-0.036194045,-8.8315915e-05,0.010249252,0.007602419,0.03433956
2010-02-08,0.3530623304615136,0.3023885426413016,0.2540486433479442,0.355274443083988,-62.117217615907066,-0.5160748547105415,-46.56310455049461,-0.6103288455914954,-0.2735355973952764,0.7,0,1,1,0.03226465,-0.061818756,-0.11054021,-0.08734597,0.027531724,-0.025769664,0.010249252,0.007602419,0.03433956
2010-02-09,0.378919020158148,0.3281783860604906,0.2800625699121391,0.381076027487098,-62.209041651768985,-0.4156386412907425,-49.69229197074949,-0.4793674665733796,-0.2397520384446185,0.7,1,1,1,-0.024004012,-0.05113,-0.0500181,-0.08734597,0.027531724,-0.025769664,0.010249252,0.007602419,0.03433956
2010-02-10,0.3530623304615136,0.3539682294796797,0.3841182761689188,0.355274443083988,-63.56635060691087,-0.3687662085510951,-52.46710369798177,-0.5791906467986683,-0.2962619210794054,-0.7,2,1,1,-0.057070304,0.039798003,0.00038044955,-0.08734597,0.027531724,-0.025769664,0.010249252,0.007602419,0.03433956
2010-02-11,0.5082024686413202,0.4571276031564361,0.3841182761689188,0.5100839495026481,-51.93955448222869,0.0122070967137185,-52.36159385483116,0.1565931576033212,-0.3163565876244837,4.2,3,1,1,0.069937125,0.043236163,0.056959245,-0.08734597,0.027531724,-0.025769664,0.010249252,0.007602419,0.03433956
2010-02-12,0.5082024686413202,0.5087072899948143,0.5402018355540883,0.5100839495026481,-42.23833752434666,0.266047382704171,-50.33694258873426,0.1565931576033212,-0.3913791028179525,0.0,4,1,1,-0.008513219,-0.054835368,0.041401174,-0.08734597,0.027531724,-0.025769664,0.010249252,0.007602419,0.03433956
2010-02-15,0.4306323995514169,0.4571276031564361,0.4881739824256985,0.4326791962933181,-40.13922637473115,0.2680171091559261,-48.29739934593364,-0.184540836501887,-0.4063136918834298,-2.1,0,2,1,0.03226465,-0.061818756,-0.11054021,0.0058684074,0.04228005,-0.04151847,0.010249252,0.007602419,0.03433956
